solarschwach,Tage,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,348,32216.2,31371.9,32050.5,33939.8,37500.0,44319.1,52793.8,53885.9,45577.7,34681.5,26947.2,23572.0,22298.2,19875.3,20435.2,24835.9,31828.2,39547.7,44710.7,44500.3,44407.8,42160.5,38510.0,34532.7
1,17,4757.0,4432.6,4264.2,4304.4,4492.9,4967.5,5825.2,6423.1,6760.2,6062.3,5256.4,4843.7,4525.1,4445.4,4882.9,5825.4,7043.2,7795.8,7778.6,7467.7,7265.2,6561.8,5815.9,5046.8
