solarschwach,Tage,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,348,38757.1,36962.6,36569.9,36509.1,38187.3,42661.2,46401.2,41254.2,33848.1,25698.5,20488.3,18653.3,18738.0,18117.4,19238.2,23689.0,32018.7,43086.4,56252.1,60762.8,62891.8,58794.3,50708.2,43213.1
1,17,3030.2,2827.4,2757.5,2734.1,2815.9,3062.7,3515.0,3761.1,4021.6,3751.7,3361.3,3185.9,3183.2,3199.8,3425.4,4026.3,4707.9,5105.4,5389.1,5118.0,4884.2,4453.9,3835.8,3313.3
