Monat,Tage,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
01,31,2933.9,2516.9,2367.7,2334.1,2416.1,2703.4,3445.6,3828.0,3769.4,3758.0,3858.8,4241.8,4382.4,4305.4,4196.8,4302.5,4842.7,5944.9,6533.6,6415.8,5834.8,5214.5,4633.6,3739.9
02,28,2594.0,2250.0,2140.9,2125.6,2216.4,2486.8,3175.3,3462.5,3367.0,3299.1,3315.1,3604.6,3667.2,3565.8,3447.1,3514.7,3842.4,4695.9,5676.3,5712.3,5191.7,4613.4,4077.3,3305.4
03,31,2590.5,2267.6,2158.7,2149.8,2262.4,2565.4,3172.8,3423.5,3353.4,3315.9,3358.4,3660.2,3747.7,3668.6,3570.4,3628.1,3884.4,4501.9,5404.8,5767.0,5272.1,4667.3,4116.7,3277.1
04,30,2445.3,2089.2,1957.5,1949.7,2070.4,2406.0,2941.6,3232.5,3235.9,3254.5,3293.1,3546.7,3615.7,3470.5,3304.2,3308.3,3502.4,4009.2,4599.4,4867.0,4956.2,4658.0,4000.9,3142.1
05,31,2357.6,2018.5,1890.4,1869.5,1945.2,2183.7,2711.5,3029.3,3052.2,3074.9,3128.0,3399.0,3493.6,3372.3,3237.5,3240.7,3418.8,3895.2,4414.8,4588.6,4495.3,4306.1,3821.4,3018.2
06,30,2301.2,1979.9,1838.7,1803.6,1844.9,2031.2,2484.0,2737.3,2766.1,2798.7,2847.6,3100.1,3213.9,3114.3,3015.5,3027.9,3193.7,3595.0,4032.6,4161.3,4054.4,3832.4,3580.1,2893.9
07,31,2395.2,2075.0,1930.0,1890.9,1945.2,2110.9,2483.8,2755.6,2824.1,2893.8,2963.7,3233.0,3337.1,3214.0,3112.4,3119.8,3300.9,3704.0,4112.5,4228.8,4107.0,3926.7,3675.4,2985.4
08,31,2352.7,2060.3,1925.8,1886.5,1940.4,2165.6,2494.0,2702.5,2739.7,2820.3,2902.8,3177.7,3293.1,3177.6,3073.2,3086.9,3269.1,3671.6,4092.6,4219.4,4215.0,4079.6,3560.6,2892.7
09,30,2110.3,1833.5,1718.2,1694.7,1761.2,2073.2,2695.8,2855.7,2774.4,2784.6,2824.7,3065.6,3157.2,3055.0,2947.0,2986.9,3200.9,3682.5,4222.7,4588.8,4602.6,4038.4,3372.0,2674.1
10,31,2343.2,2016.0,1890.6,1884.4,1996.0,2329.2,2975.5,3262.7,3199.5,3212.1,3277.2,3568.3,3669.2,3544.1,3421.4,3453.5,3708.2,4384.3,5248.6,5603.9,5051.9,4422.9,3807.5,3026.2
11,30,2408.9,2062.7,1959.7,1963.9,2074.7,2371.8,3132.6,3446.8,3311.2,3230.5,3271.6,3582.1,3722.7,3673.1,3598.9,3751.4,4346.0,5405.8,5840.7,5704.8,5177.4,4586.2,4008.3,3189.9
12,31,2808.9,2390.4,2242.3,2211.6,2298.9,2579.4,3334.5,3800.1,3809.2,3810.5,3925.6,4287.5,4383.6,4292.6,4221.9,4402.7,5111.8,6017.8,6372.1,6248.9,5729.7,5132.8,4532.4,3652.2
